chosen_logps,dpo_loss,id,max_abs_logp_difference,rejected_logps,reward_margin,ref_chosen_logps,ref_rejected_logps
-186.17901611328125,0.6931471824645996,q10-1,0.0,-126.26522064208984,0.0,-186.17901611328125,-126.26522064208984
-196.391845703125,0.6931471824645996,q10-2,0.0,-178.67105102539062,0.0,-196.391845703125,-178.67105102539062
-143.04969787597656,0.6931471824645996,q10-3,0.0,-116.60553741455078,0.0,-143.04969787597656,-116.60553741455078
-108.02281188964844,0.6931471824645996,q10-4,0.0,-146.46820068359375,0.0,-108.02281188964844,-146.46820068359375
-144.0941162109375,0.6931471824645996,q10-5,0.0,-130.56051635742188,0.0,-144.0941162109375,-130.56051635742188
-170.03482055664062,0.6931471824645996,q10-6,0.0,-111.49093627929688,0.0,-170.03482055664062,-111.49093627929688
-122.1123275756836,0.6931471824645996,q10-7,0.0,-154.62811279296875,0.0,-122.1123275756836,-154.62811279296875
-132.9884033203125,0.6931471824645996,q10-8,0.0,-138.3427734375,0.0,-132.9884033203125,-138.3427734375
-135.0183563232422,0.6931471824645996,q10-9,0.0,-132.41452026367188,0.0,-135.0183563232422,-132.41452026367188
-144.6459197998047,0.6931471824645996,q10-10,0.0,-168.27444458007812,0.0,-144.6459197998047,-168.27444458007812
-142.94168090820312,0.6931471824645996,q50-1,0.0,-144.68238830566406,0.0,-142.94168090820312,-144.68238830566406
-232.50973510742188,0.6931471824645996,q50-2,0.0,-156.03652954101562,0.0,-232.50973510742188,-156.03652954101562
-205.43777465820312,0.6931471824645996,q50-3,0.0,-137.03607177734375,0.0,-205.43777465820312,-137.03607177734375
-185.63027954101562,0.6931471824645996,q50-4,0.0,-189.78262329101562,0.0,-185.63027954101562,-189.78262329101562
-160.1697540283203,0.6931471824645996,q50-5,0.0,-166.3590545654297,0.0,-160.1697540283203,-166.3590545654297
-153.30152893066406,0.6931471824645996,q50-6,0.0,-210.95814514160156,0.0,-153.30152893066406,-210.95814514160156
-177.6262664794922,0.6931471824645996,q50-7,0.0,-114.48446655273438,0.0,-177.6262664794922,-114.48446655273438
-201.59286499023438,0.6931471824645996,q50-8,0.0,-112.42340850830078,0.0,-201.59286499023438,-112.42340850830078
-130.7822723388672,0.6931471824645996,q50-9,0.0,-131.48451232910156,0.0,-130.7822723388672,-131.48451232910156
-141.41213989257812,0.6931471824645996,q50-10,0.0,-178.06333923339844,0.0,-141.41213989257812,-178.06333923339844
