id,ref_chosen_logps_corrected,ref_rejected_logps_corrected,ref_chosen_logps_first,ref_rejected_logps_first,chosen_first_minus_corrected,rejected_first_minus_corrected,old_reference_reward_offset
q10-1,-186.17901611328125,-126.26522064208984,-186.0,-126.5,0.17901611328125,-0.23477935791015625,-0.04137954711914063
q10-2,-196.391845703125,-178.67105102539062,-196.0,-179.0,0.391845703125,-0.328948974609375,-0.0720794677734375
q10-3,-143.04969787597656,-116.60553741455078,-143.0,-116.5,0.0496978759765625,0.10553741455078125,0.005583953857421876
q10-4,-108.02281188964844,-146.46820068359375,-108.0,-146.0,0.0228118896484375,0.46820068359375,0.04453887939453125
q10-5,-144.0941162109375,-130.56051635742188,-144.0,-130.0,0.0941162109375,0.560516357421875,0.046640014648437506
q10-6,-170.03482055664062,-111.49093627929688,-170.0,-111.5,0.034820556640625,-0.009063720703125,-0.004388427734375
q10-7,-122.1123275756836,-154.62811279296875,-122.0,-155.0,0.11232757568359375,-0.37188720703125,-0.04842147827148438
q10-8,-132.9884033203125,-138.3427734375,-133.0,-138.0,-0.0115966796875,0.3427734375,0.03543701171875
q10-9,-135.0183563232422,-132.41452026367188,-135.0,-132.0,0.0183563232421875,0.414520263671875,0.03961639404296875
q10-10,-144.6459197998047,-168.27444458007812,-145.0,-168.0,-0.3540802001953125,0.274444580078125,0.06285247802734376
q50-1,-142.94168090820312,-144.68238830566406,-143.0,-145.0,-0.058319091796875,-0.3176116943359375,-0.025929260253906253
q50-2,-232.50973510742188,-156.03652954101562,-233.0,-156.0,-0.490264892578125,0.036529541015625,0.052679443359375
q50-3,-205.43777465820312,-137.03607177734375,-205.0,-137.0,0.437774658203125,0.03607177734375,-0.040170288085937506
q50-4,-185.63027954101562,-189.78262329101562,-186.0,-190.0,-0.369720458984375,-0.217376708984375,0.015234375000000001
q50-5,-160.1697540283203,-166.3590545654297,-160.0,-166.0,0.1697540283203125,0.3590545654296875,0.018930053710937502
q50-6,-153.30152893066406,-210.95814514160156,-153.0,-211.0,0.3015289306640625,-0.0418548583984375,-0.03433837890625
q50-7,-177.6262664794922,-114.48446655273438,-178.0,-114.5,-0.3737335205078125,-0.015533447265625,0.03582000732421875
q50-8,-201.59286499023438,-112.42340850830078,-202.0,-112.5,-0.407135009765625,-0.07659149169921875,0.033054351806640625
q50-9,-130.7822723388672,-131.48451232910156,-131.0,-131.0,-0.2177276611328125,0.4845123291015625,0.0702239990234375
q50-10,-141.41213989257812,-178.06333923339844,-141.0,-178.0,0.412139892578125,0.0633392333984375,-0.03488006591796875
q50-11,-218.41351318359375,-100.70355987548828,-218.0,-101.0,0.41351318359375,-0.29644012451171875,-0.07099533081054688
q50-12,-90.0743408203125,-105.15037536621094,-90.0,-105.0,0.0743408203125,0.1503753662109375,0.00760345458984375
q50-13,-129.63514709472656,-148.29428100585938,-130.0,-148.0,-0.3648529052734375,0.294281005859375,0.06591339111328125
q50-14,-105.24093627929688,-165.18914794921875,-105.0,-165.0,0.240936279296875,0.18914794921875,-0.0051788330078125005
q50-15,-171.1129150390625,-127.67184448242188,-171.0,-127.5,0.1129150390625,0.171844482421875,0.005892944335937501
q50-16,-159.14630126953125,-146.32591247558594,-159.0,-146.0,0.14630126953125,0.3259124755859375,0.017961120605468752
q50-17,-168.23800659179688,-164.86752319335938,-168.0,-165.0,0.238006591796875,-0.132476806640625,-0.03704833984375
q50-18,-143.47573852539062,-191.3465576171875,-144.0,-191.0,-0.524261474609375,0.3465576171875,0.0870819091796875
q50-19,-130.34637451171875,-128.8824462890625,-130.0,-129.0,0.34637451171875,-0.1175537109375,-0.046392822265625
q50-20,-107.45623016357422,-187.29469299316406,-107.5,-187.0,-0.04376983642578125,0.2946929931640625,0.033846282958984376
q50-21,-178.48582458496094,-140.93603515625,-178.0,-141.0,0.4858245849609375,-0.06396484375,-0.054978942871093756
q50-22,-91.04161071777344,-96.48542022705078,-91.0,-96.5,0.0416107177734375,-0.01457977294921875,-0.005619049072265625
q50-23,-140.05718994140625,-134.59922790527344,-140.0,-135.0,0.05718994140625,-0.4007720947265625,-0.04579620361328125
q50-24,-144.7801513671875,-138.54617309570312,-145.0,-138.0,-0.2198486328125,0.546173095703125,0.07660217285156251
q50-25,-151.72613525390625,-156.54519653320312,-152.0,-157.0,-0.27386474609375,-0.454803466796875,-0.0180938720703125
q50-26,-152.96168518066406,-144.37867736816406,-153.0,-144.0,-0.0383148193359375,0.3786773681640625,0.04169921875
q50-27,-122.69173431396484,-137.93670654296875,-122.5,-138.0,0.19173431396484375,-0.06329345703125,-0.025502777099609377
q50-28,-189.63934326171875,-180.29766845703125,-190.0,-180.0,-0.36065673828125,0.29766845703125,0.06583251953125001
q50-29,-108.9118881225586,-103.97933959960938,-109.0,-104.0,-0.08811187744140625,-0.020660400390625,0.006745147705078125
q50-30,-138.9384765625,-136.90603637695312,-139.0,-137.0,-0.0615234375,-0.093963623046875,-0.0032440185546875003
q50-31,-165.7998809814453,-162.9309539794922,-166.0,-163.0,-0.2001190185546875,-0.0690460205078125,0.0131072998046875
q50-32,-179.90614318847656,-150.4642791748047,-180.0,-151.0,-0.0938568115234375,-0.5357208251953125,-0.0441864013671875
q50-34,-137.184326171875,-124.5169677734375,-137.0,-124.5,0.184326171875,0.0169677734375,-0.01673583984375
q50-35,-143.70889282226562,-138.6777801513672,-144.0,-139.0,-0.291107177734375,-0.3222198486328125,-0.00311126708984375
q50-36,-154.82186889648438,-84.02104187011719,-155.0,-84.0,-0.178131103515625,0.0210418701171875,0.019917297363281253
q50-37,-233.39370727539062,-203.34552001953125,-233.0,-203.0,0.393707275390625,0.34552001953125,-0.0048187255859375
q50-38,-101.76699829101562,-135.73031616210938,-102.0,-136.0,-0.233001708984375,-0.269683837890625,-0.003668212890625
q50-39,-183.7958526611328,-140.8941650390625,-184.0,-141.0,-0.2041473388671875,-0.1058349609375,0.009831237792968751
q50-40,-206.52200317382812,-127.84414672851562,-207.0,-128.0,-0.477996826171875,-0.155853271484375,0.032214355468750004
