model,readout_type,cost_count,mean_margin,ecological,human,ties
llama_instruction_baseline,complete_option_text,1,0.17848098855600036,7,1,0
llama_instruction_baseline,complete_option_text,10,0.16539158947970095,7,1,0
llama_instruction_baseline,complete_option_text,100,0.16043833702329605,7,1,0
llama_instruction_baseline,complete_option_text,1000,0.15255712518874354,6,2,0
llama_instruction_baseline,complete_option_text,10000,0.151038161466304,6,2,0
llama_instruction_baseline,complete_option_text,100000,0.14362767137920357,6,2,0
llama_instruction_baseline,complete_option_text,1000000,0.1381216111250254,6,2,0
llama_instruction_baseline,counterbalanced_ab,1,1.296875,8,0,0
llama_instruction_baseline,counterbalanced_ab,10,1.2265625,8,0,0
llama_instruction_baseline,counterbalanced_ab,100,1.21875,8,0,0
llama_instruction_baseline,counterbalanced_ab,1000,1.1953125,8,0,0
llama_instruction_baseline,counterbalanced_ab,10000,1.1640625,8,0,0
llama_instruction_baseline,counterbalanced_ab,100000,1.171875,8,0,0
llama_instruction_baseline,counterbalanced_ab,1000000,1.09375,8,0,0
qwen3_8b,complete_option_text,1,0.010121091249873343,4,4,0
qwen3_8b,complete_option_text,10,-0.5088757568623596,2,6,0
qwen3_8b,complete_option_text,100,-0.83361838598444,2,6,0
qwen3_8b,complete_option_text,1000,-1.108634812198848,2,6,0
qwen3_8b,complete_option_text,10000,-1.5185129655302,2,6,0
qwen3_8b,complete_option_text,100000,-1.7740949174886484,2,6,0
qwen3_8b,complete_option_text,1000000,-1.881105508845606,2,6,0
qwen3_8b,counterbalanced_ab,1,3.96875,5,3,0
qwen3_8b,counterbalanced_ab,10,1.78125,5,3,0
qwen3_8b,counterbalanced_ab,100,-0.046875,4,4,0
qwen3_8b,counterbalanced_ab,1000,-2.15625,4,4,0
qwen3_8b,counterbalanced_ab,10000,-4.375,2,6,0
qwen3_8b,counterbalanced_ab,100000,-5.328125,2,6,0
qwen3_8b,counterbalanced_ab,1000000,-5.90625,2,6,0
