readout_type,cost_count,baseline,msm,aft,msm_aft
complete_option_text,0,0.19904468010944373,0.24405146688437906,0.38093691171935795,0.3692822300080441
complete_option_text,1,0.1784809885560004,0.22577514226990514,0.3314861889181371,0.3274619751162343
complete_option_text,10,0.16539158947970098,0.21848722143262664,0.30929318433802194,0.31598631228719437
complete_option_text,100,0.16043833702329605,0.20947547819019222,0.3063208460850805,0.30547460752390165
complete_option_text,1000,0.15255712518874354,0.20407578862590703,0.291812541397103,0.29093786311614045
complete_option_text,10000,0.151038161466304,0.20214406075157643,0.2781708953528521,0.2798788671842729
complete_option_text,100000,0.14362767137920354,0.19029566372971857,0.2623849979597769,0.26652197211679785
complete_option_text,1000000,0.13812161112502538,0.184766202911326,0.24916539273908814,0.2585515246504829
counterbalanced_ab,0,1.421875,1.78125,2.28125,2.46875
counterbalanced_ab,1,1.296875,1.6796875,2.0078125,2.265625
counterbalanced_ab,10,1.2265625,1.671875,1.9453125,2.265625
counterbalanced_ab,100,1.21875,1.640625,1.890625,2.1953125
counterbalanced_ab,1000,1.1953125,1.6015625,1.796875,2.1328125
counterbalanced_ab,10000,1.1640625,1.5390625,1.703125,2.0390625
counterbalanced_ab,100000,1.171875,1.5,1.640625,1.9921875
counterbalanced_ab,1000000,1.09375,1.46875,1.546875,1.875
