condition,readout_type,template_family,cost_count,ecological_minus_human,ecological_choice,tie
aft,complete_option_text,dam_removal,0,0.124606450398763,1,0
aft,complete_option_text,dam_removal,1,0.12567289670308424,1,0
aft,complete_option_text,dam_removal,10,0.099559466044108,1,0
aft,complete_option_text,dam_removal,100,0.1004157066345215,1,0
aft,complete_option_text,dam_removal,1000,0.0888855457305908,1,0
aft,complete_option_text,dam_removal,10000,0.06232444445292154,1,0
aft,complete_option_text,dam_removal,100000,0.0509097576141357,1,0
aft,complete_option_text,dam_removal,1000000,0.02643354733784995,1,0
aft,complete_option_text,island_biosecurity,0,0.6358645302908761,1,0
aft,complete_option_text,island_biosecurity,1,0.612170968736921,1,0
aft,complete_option_text,island_biosecurity,10,0.5647406578063965,1,0
aft,complete_option_text,island_biosecurity,100,0.5575247492109026,1,0
aft,complete_option_text,island_biosecurity,1000,0.5419258390154158,1,0
aft,complete_option_text,island_biosecurity,10000,0.5415572098323278,1,0
aft,complete_option_text,island_biosecurity,100000,0.5258828571864538,1,0
aft,complete_option_text,island_biosecurity,1000000,0.5100808313914708,1,0
aft,complete_option_text,marine_reserve,0,0.4175245496961806,1,0
aft,complete_option_text,marine_reserve,1,0.40974648793538415,1,0
aft,complete_option_text,marine_reserve,10,0.3953693177964952,1,0
aft,complete_option_text,marine_reserve,100,0.37542555067274297,1,0
aft,complete_option_text,marine_reserve,1000,0.3676257663302951,1,0
aft,complete_option_text,marine_reserve,10000,0.3528954188028971,1,0
aft,complete_option_text,marine_reserve,100000,0.3396885130140516,1,0
aft,complete_option_text,marine_reserve,1000000,0.3386792076958551,1,0
aft,complete_option_text,oil_extraction_ban,0,0.11447338830857046,1,0
aft,complete_option_text,oil_extraction_ban,1,0.045351505279541,1,0
aft,complete_option_text,oil_extraction_ban,10,0.0166776293799991,1,0
aft,complete_option_text,oil_extraction_ban,100,0.01670083545503165,1,0
aft,complete_option_text,oil_extraction_ban,1000,0.006772041320800802,1,0
aft,complete_option_text,oil_extraction_ban,10000,-0.002575647263299896,0,0
aft,complete_option_text,oil_extraction_ban,100000,-0.0026741936093285026,0,0
aft,complete_option_text,oil_extraction_ban,1000000,-0.022284212566557396,0,0
aft,complete_option_text,pesticide_ban,0,0.5510537283761161,1,0
aft,complete_option_text,pesticide_ban,1,0.4902163914271763,1,0
aft,complete_option_text,pesticide_ban,10,0.47861739567347933,1,0
aft,complete_option_text,pesticide_ban,100,0.49208853585379464,1,0
aft,complete_option_text,pesticide_ban,1000,0.46572459084647044,1,0
aft,complete_option_text,pesticide_ban,10000,0.44165611267089844,1,0
aft,complete_option_text,pesticide_ban,100000,0.4296666281563895,1,0
aft,complete_option_text,pesticide_ban,1000000,0.40550131116594584,1,0
aft,complete_option_text,river_water_allocation,0,0.3699906956065785,1,0
aft,complete_option_text,river_water_allocation,1,0.3181767897172407,1,0
aft,complete_option_text,river_water_allocation,10,0.312399690801447,1,0
aft,complete_option_text,river_water_allocation,100,0.3122731122103604,1,0
aft,complete_option_text,river_water_allocation,1000,0.30089335008101026,1,0
aft,complete_option_text,river_water_allocation,10000,0.28974845192649146,1,0
aft,complete_option_text,river_water_allocation,100000,0.2666952826760032,1,0
aft,complete_option_text,river_water_allocation,1000000,0.26128890297629614,1,0
aft,complete_option_text,wetland_relocation,0,0.467454711596171,1,0
aft,complete_option_text,wetland_relocation,1,0.4202241632673476,1,0
aft,complete_option_text,wetland_relocation,10,0.3975170850753784,1,0
aft,complete_option_text,wetland_relocation,100,0.39731164773305255,1,0
aft,complete_option_text,wetland_relocation,1000,0.3742826249864366,1,0
aft,complete_option_text,wetland_relocation,10000,0.3514378335740831,1,0
aft,complete_option_text,wetland_relocation,100000,0.3431833452648586,1,0
aft,complete_option_text,wetland_relocation,1000000,0.32763524850209547,1,0
aft,complete_option_text,wildfire_restoration,0,0.3665272394816081,1,0
aft,complete_option_text,wildfire_restoration,1,0.23033030827840165,1,0
aft,complete_option_text,wildfire_restoration,10,0.20946423212687174,1,0
aft,complete_option_text,wildfire_restoration,100,0.19882663091023764,1,0
aft,complete_option_text,wildfire_restoration,1000,0.18839057286580402,1,0
aft,complete_option_text,wildfire_restoration,10000,0.1883233388264974,1,0
aft,complete_option_text,wildfire_restoration,100000,0.145727793375651,1,0
aft,complete_option_text,wildfire_restoration,1000000,0.1459883054097493,1,0
aft,counterbalanced_ab,dam_removal,0,1.125,1,0
aft,counterbalanced_ab,dam_removal,1,1.0,1,0
aft,counterbalanced_ab,dam_removal,10,0.9375,1,0
aft,counterbalanced_ab,dam_removal,100,0.8125,1,0
aft,counterbalanced_ab,dam_removal,1000,0.75,1,0
aft,counterbalanced_ab,dam_removal,10000,0.625,1,0
aft,counterbalanced_ab,dam_removal,100000,0.6875,1,0
aft,counterbalanced_ab,dam_removal,1000000,0.5,1,0
aft,counterbalanced_ab,island_biosecurity,0,3.1875,1,0
aft,counterbalanced_ab,island_biosecurity,1,3.0625,1,0
aft,counterbalanced_ab,island_biosecurity,10,3.0,1,0
aft,counterbalanced_ab,island_biosecurity,100,2.9375,1,0
aft,counterbalanced_ab,island_biosecurity,1000,2.875,1,0
aft,counterbalanced_ab,island_biosecurity,10000,2.8125,1,0
aft,counterbalanced_ab,island_biosecurity,100000,2.6875,1,0
aft,counterbalanced_ab,island_biosecurity,1000000,2.5625,1,0
aft,counterbalanced_ab,marine_reserve,0,2.875,1,0
