contrast,metric,mean,family_positive,family_negative,bootstrap_95pct,leave_one_family_out_range,positive_cells,negative_cells,ecological_flips,human_flips
msm_minus_baseline,complete_option_text,0.04933772481328258,7,1,"[np.float64(0.013448236253280716), np.float64(0.09574630602653603)]","[np.float64(0.029069832357293195), np.float64(0.05968657453865408)]",47.0,9.0,11.0,0.0
msm_minus_baseline,counterbalanced_ab,0.390625,8,0,"[np.float64(0.20424107142857145), np.float64(0.5747767857142857)]","[np.float64(0.3405612244897959), np.float64(0.43112244897959184)]",53.0,0.0,0.0,0.0
msm_minus_baseline,probability_threshold_0,-0.04148679413729989,0,8,"[np.float64(-0.051428909592199895), np.float64(-0.031709083647511266)]","[np.float64(-0.04475284812287302), np.float64(-0.03844571299638704)]",,,,
msm_minus_baseline,probability_threshold_1,0.009736427989516204,8,0,"[np.float64(0.006717898873859693), np.float64(0.012819393690959316)]","[np.float64(0.00865455532071919), np.float64(0.010640190665545723)]",,,,
msm_minus_baseline,probability_threshold_10,0.023431124136349554,8,0,"[np.float64(0.018565774673351344), np.float64(0.028299019974437362)]","[np.float64(0.021779426779314298), np.float64(0.025129186565994326)]",,,,
msm_minus_baseline,probability_threshold_100,0.00831924201143415,8,0,"[np.float64(0.005336311255035836), np.float64(0.01146775473368905)]","[np.float64(0.007319916670146385), np.float64(0.00907036862980636)]",,,,
msm_minus_baseline,expected_threshold,1.075971870496427,8,0,"[np.float64(0.7387619401434211), np.float64(1.4334669034169727)]","[np.float64(0.9688537011490966), np.float64(1.1688820215676519)]",,,,
msm_minus_baseline,expected_log1p_threshold,0.10132846390410002,8,0,"[np.float64(0.07591057817279187), np.float64(0.12753377144551642)]","[np.float64(0.09324519201232954), np.float64(0.10943298727262223)]",,,,
msm_minus_baseline,entropy_nats,0.0024216927197144023,8,0,"[np.float64(0.0014537945725000279), np.float64(0.0035706001715845315)]","[np.float64(0.0020091627428093467), np.float64(0.0026478270955133504)]",,,,
aft_minus_baseline,complete_option_text,0.13413979465311224,7,1,"[np.float64(0.08003336807823114), np.float64(0.1757870345631965)]","[np.float64(0.12391983648841588), np.float64(0.15781740286670629)]",49.0,7.0,11.0,3.0
aft_minus_baseline,counterbalanced_ab,0.5948660714285714,8,0,"[np.float64(0.38616071428571425), np.float64(0.8203124999999999)]","[np.float64(0.5127551020408162), np.float64(0.6581632653061223)]",56.0,0.0,0.0,0.0
aft_minus_baseline,probability_threshold_0,0.024219195741053037,8,0,"[np.float64(0.018759605188863007), np.float64(0.030195393874027025)]","[np.float64(0.02186811009252771), np.float64(0.025995930252287098)]",,,,
aft_minus_baseline,probability_threshold_1,-0.006660602517328178,0,8,"[np.float64(-0.008239744409049777), np.float64(-0.005162313572658509)]","[np.float64(-0.0072281621972839615), np.float64(-0.0060201615503994955)]",,,,
aft_minus_baseline,probability_threshold_10,-0.00854181109774433,0,8,"[np.float64(-0.01136186883910624), np.float64(-0.005635422645519493)]","[np.float64(-0.009568970549346748), np.float64(-0.007613127109463051)]",,,,
aft_minus_baseline,probability_threshold_100,-0.009016782125980533,0,8,"[np.float64(-0.012805509608603518), np.float64(-0.005670845515156722)]","[np.float64(-0.009916948996435335), np.float64(-0.007474379476809163)]",,,,
aft_minus_baseline,expected_threshold,-0.9937569260928241,0,8,"[np.float64(-1.3921008233649101), np.float64(-0.6426321947419016)]","[np.float64(-1.093894615843505), np.float64(-0.8303498222818015)]",,,,
aft_minus_baseline,expected_log1p_threshold,-0.06671268249363457,0,8,"[np.float64(-0.08935691107192847), np.float64(-0.046650564437031056)]","[np.float64(-0.07322569959037144), np.float64(-0.057450599783929635)]",,,,
aft_minus_baseline,entropy_nats,-0.005844608557526443,0,8,"[np.float64(-0.007773781224799131), np.float64(-0.004129884785563309)]","[np.float64(-0.006314161902677798), np.float64(-0.005067563293401982)]",,,,
msm_aft_minus_baseline,complete_option_text,0.13645109111096437,7,1,"[np.float64(0.07472289385709092), np.float64(0.19080360049293155)]","[np.float64(0.12298143781824934), np.float64(0.16131969377002234)]",49.0,7.0,11.0,2.0
