model,readout_type,cost_count,mean_margin,ecological_choices,ecological_both_orders
llama_instruct,complete_option_text,0,0.5162352886593875,8,8
llama_instruct,complete_option_text,1,0.441625794549009,8,8
llama_instruct,complete_option_text,10,0.35978823955698963,8,7
llama_instruct,complete_option_text,100,0.32720856677746185,8,7
llama_instruct,complete_option_text,1000,0.2869748677354182,8,7
llama_instruct,complete_option_text,10000,0.24489379522604343,7,7
llama_instruct,complete_option_text,100000,0.2186895342272253,7,6
llama_instruct,complete_option_text,1000000,0.18717986953808974,7,6
llama_instruct,counterbalanced_ab,0,3.1484375,8,8
llama_instruct,counterbalanced_ab,1,2.7421875,8,8
llama_instruct,counterbalanced_ab,10,2.3671875,8,8
llama_instruct,counterbalanced_ab,100,2.1875,8,8
llama_instruct,counterbalanced_ab,1000,1.8671875,8,7
llama_instruct,counterbalanced_ab,10000,1.5703125,8,5
llama_instruct,counterbalanced_ab,100000,1.421875,7,5
llama_instruct,counterbalanced_ab,1000000,1.21875,7,5
authors_baseline,complete_option_text,0,0.19904468010944373,7,7
authors_baseline,complete_option_text,1,0.17848098855600036,7,6
authors_baseline,complete_option_text,10,0.16539158947970095,7,5
authors_baseline,complete_option_text,100,0.16043833702329605,7,5
authors_baseline,complete_option_text,1000,0.15255712518874354,6,5
authors_baseline,complete_option_text,10000,0.151038161466304,6,5
authors_baseline,complete_option_text,100000,0.14362767137920357,6,5
authors_baseline,complete_option_text,1000000,0.1381216111250254,6,5
authors_baseline,counterbalanced_ab,0,1.421875,8,6
authors_baseline,counterbalanced_ab,1,1.296875,8,6
authors_baseline,counterbalanced_ab,10,1.2265625,8,6
authors_baseline,counterbalanced_ab,100,1.21875,8,6
authors_baseline,counterbalanced_ab,1000,1.1953125,8,5
authors_baseline,counterbalanced_ab,10000,1.1640625,8,6
authors_baseline,counterbalanced_ab,100000,1.171875,8,5
authors_baseline,counterbalanced_ab,1000000,1.09375,8,5
qwen3_8b,complete_option_text,0,0.5252610575413118,6,6
qwen3_8b,complete_option_text,1,0.010121091249873343,4,2
qwen3_8b,complete_option_text,10,-0.5088757568623596,2,2
qwen3_8b,complete_option_text,100,-0.83361838598444,2,2
qwen3_8b,complete_option_text,1000,-1.108634812198848,2,1
qwen3_8b,complete_option_text,10000,-1.5185129655302,2,1
qwen3_8b,complete_option_text,100000,-1.7740949174886484,2,1
qwen3_8b,complete_option_text,1000000,-1.881105508845606,2,1
qwen3_8b,counterbalanced_ab,0,9.484375,7,6
qwen3_8b,counterbalanced_ab,1,3.96875,5,4
qwen3_8b,counterbalanced_ab,10,1.78125,5,3
qwen3_8b,counterbalanced_ab,100,-0.046875,4,4
qwen3_8b,counterbalanced_ab,1000,-2.15625,4,2
qwen3_8b,counterbalanced_ab,10000,-4.375,2,1
qwen3_8b,counterbalanced_ab,100000,-5.328125,2,1
qwen3_8b,counterbalanced_ab,1000000,-5.90625,2,1
msm,complete_option_text,0,0.24405146688437906,8,7
msm,complete_option_text,1,0.22577514226990514,8,7
msm,complete_option_text,10,0.21848722143262664,8,6
msm,complete_option_text,100,0.20947547819019222,8,6
msm,complete_option_text,1000,0.20407578862590703,8,6
msm,complete_option_text,10000,0.20214406075157643,8,6
msm,complete_option_text,100000,0.19029566372971857,8,6
msm,complete_option_text,1000000,0.184766202911326,8,6
msm,counterbalanced_ab,0,1.78125,8,7
msm,counterbalanced_ab,1,1.6796875,8,7
msm,counterbalanced_ab,10,1.671875,8,7
msm,counterbalanced_ab,100,1.640625,8,6
msm,counterbalanced_ab,1000,1.6015625,8,6
msm,counterbalanced_ab,10000,1.5390625,8,5
msm,counterbalanced_ab,100000,1.5,8,5
msm,counterbalanced_ab,1000000,1.46875,8,5
aft,complete_option_text,0,0.38093691171935795,8,8
aft,complete_option_text,1,0.3314861889181371,8,7
aft,complete_option_text,10,0.3092931843380219,8,7
aft,complete_option_text,100,0.3063208460850805,8,7
aft,complete_option_text,1000,0.291812541397103,8,7
aft,complete_option_text,10000,0.2781708953528521,7,6
aft,complete_option_text,100000,0.2623849979597769,7,6
aft,complete_option_text,1000000,0.24916539273908814,7,6
aft,counterbalanced_ab,0,2.28125,8,8
aft,counterbalanced_ab,1,2.0078125,8,8
aft,counterbalanced_ab,10,1.9453125,8,8
aft,counterbalanced_ab,100,1.890625,8,8
aft,counterbalanced_ab,1000,1.796875,8,7
aft,counterbalanced_ab,10000,1.703125,8,8
aft,counterbalanced_ab,100000,1.640625,8,7
aft,counterbalanced_ab,1000000,1.546875,8,7
msm_aft,complete_option_text,0,0.36928223000804417,8,7
msm_aft,complete_option_text,1,0.3274619751162343,8,7
msm_aft,complete_option_text,10,0.31598631228719437,8,7
msm_aft,complete_option_text,100,0.3054746075239016,8,7
msm_aft,complete_option_text,1000,0.29093786311614045,8,7
msm_aft,complete_option_text,10000,0.2798788671842729,8,7
msm_aft,complete_option_text,100000,0.26652197211679785,7,7
msm_aft,complete_option_text,1000000,0.25855152465048287,7,7
msm_aft,counterbalanced_ab,0,2.46875,8,8
msm_aft,counterbalanced_ab,1,2.265625,8,8
msm_aft,counterbalanced_ab,10,2.265625,8,8
msm_aft,counterbalanced_ab,100,2.1953125,8,8
msm_aft,counterbalanced_ab,1000,2.1328125,8,8
msm_aft,counterbalanced_ab,10000,2.0390625,8,7
msm_aft,counterbalanced_ab,100000,1.9921875,8,7
msm_aft,counterbalanced_ab,1000000,1.875,8,7
