model,readout_type,template_family,mean_margin,ecological_choices
llama_instruct,complete_option_text,dam_removal,0.005671523866199303,4
llama_instruct,complete_option_text,island_biosecurity,0.7060171438723195,7
llama_instruct,complete_option_text,marine_reserve,0.5329260901799279,7
llama_instruct,complete_option_text,oil_extraction_ban,0.11055630404932967,7
llama_instruct,complete_option_text,pesticide_ban,0.41240206737907564,7
llama_instruct,complete_option_text,river_water_allocation,0.275509499884271,7
llama_instruct,complete_option_text,wetland_relocation,0.16375365711393805,7
llama_instruct,complete_option_text,wildfire_restoration,0.154718762352353,7
llama_instruct,counterbalanced_ab,dam_removal,0.5089285714285714,5
llama_instruct,counterbalanced_ab,island_biosecurity,2.6517857142857144,7
llama_instruct,counterbalanced_ab,marine_reserve,3.6785714285714284,7
llama_instruct,counterbalanced_ab,oil_extraction_ban,1.4642857142857142,7
llama_instruct,counterbalanced_ab,pesticide_ban,1.9642857142857142,7
llama_instruct,counterbalanced_ab,river_water_allocation,3.4107142857142856,7
llama_instruct,counterbalanced_ab,wetland_relocation,0.7857142857142857,7
llama_instruct,counterbalanced_ab,wildfire_restoration,0.8214285714285714,7
authors_baseline,complete_option_text,dam_removal,-0.0543127968197777,0
authors_baseline,complete_option_text,island_biosecurity,0.344875228648283,7
authors_baseline,complete_option_text,marine_reserve,0.27528891487727086,7
authors_baseline,complete_option_text,oil_extraction_ban,0.039884599698644115,7
authors_baseline,complete_option_text,pesticide_ban,0.31409303704086616,7
authors_baseline,complete_option_text,river_water_allocation,0.107365422434621,7
authors_baseline,complete_option_text,wetland_relocation,0.21259815163082543,7
authors_baseline,complete_option_text,wildfire_restoration,0.005527995881580178,3
authors_baseline,counterbalanced_ab,dam_removal,0.4107142857142857,7
authors_baseline,counterbalanced_ab,island_biosecurity,1.9910714285714286,7
authors_baseline,counterbalanced_ab,marine_reserve,1.7589285714285714,7
authors_baseline,counterbalanced_ab,oil_extraction_ban,0.5982142857142857,7
authors_baseline,counterbalanced_ab,pesticide_ban,1.0357142857142858,7
authors_baseline,counterbalanced_ab,river_water_allocation,1.6071428571428572,7
authors_baseline,counterbalanced_ab,wetland_relocation,1.3660714285714286,7
authors_baseline,counterbalanced_ab,wildfire_restoration,0.7946428571428571,7
qwen3_8b,complete_option_text,dam_removal,-4.189146109989712,0
qwen3_8b,complete_option_text,island_biosecurity,2.628039958525677,7
qwen3_8b,complete_option_text,marine_reserve,0.8521819341750371,7
qwen3_8b,complete_option_text,oil_extraction_ban,-1.9405330151927715,0
qwen3_8b,complete_option_text,pesticide_ban,-0.8531264947385203,1
qwen3_8b,complete_option_text,river_water_allocation,-1.0527597650305016,1
qwen3_8b,complete_option_text,wetland_relocation,-1.548980845345391,0
qwen3_8b,complete_option_text,wildfire_restoration,-2.5982142403012234,0
qwen3_8b,counterbalanced_ab,dam_removal,-15.214285714285714,0
qwen3_8b,counterbalanced_ab,island_biosecurity,17.089285714285715,7
qwen3_8b,counterbalanced_ab,marine_reserve,7.821428571428571,7
qwen3_8b,counterbalanced_ab,oil_extraction_ban,-2.1607142857142856,2
qwen3_8b,counterbalanced_ab,pesticide_ban,-0.14285714285714285,4
qwen3_8b,counterbalanced_ab,river_water_allocation,1.0535714285714286,4
qwen3_8b,counterbalanced_ab,wetland_relocation,-8.892857142857142,0
qwen3_8b,counterbalanced_ab,wildfire_restoration,-13.339285714285714,0
msm,complete_option_text,dam_removal,0.13690017518543057,7
msm,complete_option_text,island_biosecurity,0.3624318375879404,7
msm,complete_option_text,marine_reserve,0.3148081491863916,7
msm,complete_option_text,oil_extraction_ban,0.01678037643432617,7
msm,complete_option_text,pesticide_ban,0.3774601099442462,7
msm,complete_option_text,river_water_allocation,0.1164117540631975,7
msm,complete_option_text,wetland_relocation,0.2366746153150286,7
msm,complete_option_text,wildfire_restoration,0.07855533418201263,7
msm,counterbalanced_ab,dam_removal,0.9107142857142857,7
msm,counterbalanced_ab,island_biosecurity,2.0982142857142856,7
msm,counterbalanced_ab,marine_reserve,2.5,7
msm,counterbalanced_ab,oil_extraction_ban,0.7142857142857143,7
msm,counterbalanced_ab,pesticide_ban,1.6964285714285714,7
msm,counterbalanced_ab,river_water_allocation,2.294642857142857,7
msm,counterbalanced_ab,wetland_relocation,1.4821428571428572,7
msm,counterbalanced_ab,wildfire_restoration,0.9910714285714286,7
aft,complete_option_text,dam_removal,0.07917162350245883,7
aft,complete_option_text,island_biosecurity,0.5505547304542696,7
aft,complete_option_text,marine_reserve,0.3684900374639602,7
aft,complete_option_text,oil_extraction_ban,0.00828113685659811,4
aft,complete_option_text,pesticide_ban,0.457638709399165,7
aft,complete_option_text,river_water_allocation,0.2944965114841213,7
aft,complete_option_text,wetland_relocation,0.37308456405760754,7
aft,complete_option_text,wildfire_restoration,0.18672159739903038,7
aft,counterbalanced_ab,dam_removal,0.7589285714285714,7
aft,counterbalanced_ab,island_biosecurity,2.8482142857142856,7
aft,counterbalanced_ab,marine_reserve,2.5982142857142856,7
aft,counterbalanced_ab,oil_extraction_ban,0.75,7
aft,counterbalanced_ab,pesticide_ban,1.5178571428571428,7
aft,counterbalanced_ab,river_water_allocation,2.7767857142857144,7
aft,counterbalanced_ab,wetland_relocation,1.9285714285714286,7
aft,counterbalanced_ab,wildfire_restoration,1.1428571428571428,7
msm_aft,complete_option_text,dam_removal,0.16614376930963423,7
msm_aft,complete_option_text,island_biosecurity,0.5756138928082525,7
msm_aft,complete_option_text,marine_reserve,0.350308963230678,7
msm_aft,complete_option_text,oil_extraction_ban,0.0022554721962027013,5
msm_aft,complete_option_text,pesticide_ban,0.5223598635926539,7
msm_aft,complete_option_text,river_water_allocation,0.20501674305308942,7
msm_aft,complete_option_text,wetland_relocation,0.34317515199146575,7
msm_aft,complete_option_text,wildfire_restoration,0.17205542609805152,7
msm_aft,counterbalanced_ab,dam_removal,1.3303571428571428,7
msm_aft,counterbalanced_ab,island_biosecurity,2.9910714285714284,7
msm_aft,counterbalanced_ab,marine_reserve,2.7142857142857144,7
msm_aft,counterbalanced_ab,oil_extraction_ban,0.9017857142857143,7
msm_aft,counterbalanced_ab,pesticide_ban,2.3392857142857144,7
