model,readout_type,readout_variant,mean_margin,ecological_choices,human_choices,ties,mean_conditional_p_ecological
llama_instruct,complete_option_text,ecological_first,0.2377006473675926,48,8,0,
llama_instruct,complete_option_text,human_first,0.3526881148067608,56,0,0,
llama_instruct,counterbalanced_ab,ecological_a,1.6138392857142858,49,6,1,0.762687964158162
llama_instruct,counterbalanced_ab,ecological_b,2.2075892857142856,53,3,0,0.8467605805970836
authors_baseline,complete_option_text,ecological_first,0.1103322491071269,36,20,0,
authors_baseline,complete_option_text,human_first,0.20099788924095138,51,5,0,
authors_baseline,counterbalanced_ab,ecological_a,0.3861607142857143,39,15,2,0.5879119691354407
authors_baseline,counterbalanced_ab,ecological_b,2.0044642857142856,56,0,0,0.8698695900538416
qwen3_8b,complete_option_text,ecological_first,-1.121306100362995,14,42,0,
qwen3_8b,complete_option_text,human_first,-1.0543285441113561,15,41,0,
qwen3_8b,counterbalanced_ab,ecological_a,-2.3839285714285716,19,37,0,0.3496874892956174
qwen3_8b,counterbalanced_ab,ecological_b,-1.0625,24,30,2,0.46154127035816445
msm,complete_option_text,ecological_first,0.13751340004076196,43,13,0,
msm,complete_option_text,human_first,0.27249218793388147,56,0,0,
msm,counterbalanced_ab,ecological_a,0.625,41,12,3,0.6362477465261627
msm,counterbalanced_ab,ecological_b,2.546875,56,0,0,0.9165947473830632
aft,complete_option_text,ecological_first,0.27747889507974305,46,10,0,
aft,complete_option_text,human_first,0.3021308325745597,56,0,0,
aft,counterbalanced_ab,ecological_a,1.3794642857142858,53,2,1,0.7640648024419097
aft,counterbalanced_ab,ecological_b,2.200892857142857,56,0,0,0.877608360504915
msm_aft,complete_option_text,ecological_first,0.26829758040980195,49,7,0,
msm_aft,complete_option_text,human_first,0.315934740160205,56,0,0,
msm_aft,counterbalanced_ab,ecological_a,1.3950892857142858,53,1,2,0.7722238568588435
msm_aft,counterbalanced_ab,ecological_b,2.8236607142857144,56,0,0,0.9320286295068929
