model,label,mean_probability
llama_instruct,A,0.2307940666095547
llama_instruct,B,0.2572322992940986
llama_instruct,C,0.2367316279585372
llama_instruct,D,0.2752420061378094
authors_baseline,A,0.2753316863255819
authors_baseline,B,0.3543306161878981
authors_baseline,C,0.16925922157947912
authors_baseline,D,0.20107847590704084
qwen3_8b,A,0.10372922752346758
qwen3_8b,B,0.23227231727082198
qwen3_8b,C,0.2708078945779237
qwen3_8b,D,0.39319056062778673
msm,A,0.24690802728356157
msm,B,0.33507476902528777
msm,C,0.16752363434877107
msm,D,0.25049356934237943
aft,A,0.29063139116768566
aft,B,0.33016817151478906
aft,C,0.16950676592281524
aft,D,0.20969367139470982
msm_aft,A,0.30589701055169244
msm_aft,B,0.2996291604754921
msm_aft,C,0.16124938108176343
msm_aft,D,0.23322444789105198
