case_id,template,template_family,pair_name,training_method,model_role,model_id,model_revision,permutation_count,candidate_value,candidate_probability
extreme_v2_numeric__dam_removal,extreme_v2_numeric__dam_removal,dam_removal,llama31_8b_instruct,official_instruct,llama_instruct,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,24,0,0.33628569301786887
extreme_v2_numeric__dam_removal,extreme_v2_numeric__dam_removal,dam_removal,llama31_8b_instruct,official_instruct,llama_instruct,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,24,1,0.259834042947207
extreme_v2_numeric__dam_removal,extreme_v2_numeric__dam_removal,dam_removal,llama31_8b_instruct,official_instruct,llama_instruct,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,24,10,0.19248310379771885
extreme_v2_numeric__dam_removal,extreme_v2_numeric__dam_removal,dam_removal,llama31_8b_instruct,official_instruct,llama_instruct,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,24,100,0.2113971602372051
extreme_v2_numeric__island_biosecurity,extreme_v2_numeric__island_biosecurity,island_biosecurity,llama31_8b_instruct,official_instruct,llama_instruct,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,24,0,0.41164814976020553
extreme_v2_numeric__island_biosecurity,extreme_v2_numeric__island_biosecurity,island_biosecurity,llama31_8b_instruct,official_instruct,llama_instruct,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,24,1,0.2057098887665654
extreme_v2_numeric__island_biosecurity,extreme_v2_numeric__island_biosecurity,island_biosecurity,llama31_8b_instruct,official_instruct,llama_instruct,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,24,10,0.17391901188933842
extreme_v2_numeric__island_biosecurity,extreme_v2_numeric__island_biosecurity,island_biosecurity,llama31_8b_instruct,official_instruct,llama_instruct,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,24,100,0.20872294958389057
extreme_v2_numeric__marine_reserve,extreme_v2_numeric__marine_reserve,marine_reserve,llama31_8b_instruct,official_instruct,llama_instruct,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,24,0,0.4933188052612583
extreme_v2_numeric__marine_reserve,extreme_v2_numeric__marine_reserve,marine_reserve,llama31_8b_instruct,official_instruct,llama_instruct,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,24,1,0.20527250415896023
extreme_v2_numeric__marine_reserve,extreme_v2_numeric__marine_reserve,marine_reserve,llama31_8b_instruct,official_instruct,llama_instruct,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,24,10,0.14634322562613156
extreme_v2_numeric__marine_reserve,extreme_v2_numeric__marine_reserve,marine_reserve,llama31_8b_instruct,official_instruct,llama_instruct,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,24,100,0.15506546495364978
extreme_v2_numeric__oil_extraction_ban,extreme_v2_numeric__oil_extraction_ban,oil_extraction_ban,llama31_8b_instruct,official_instruct,llama_instruct,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,24,0,0.18766834644660643
extreme_v2_numeric__oil_extraction_ban,extreme_v2_numeric__oil_extraction_ban,oil_extraction_ban,llama31_8b_instruct,official_instruct,llama_instruct,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,24,1,0.2789715198758939
extreme_v2_numeric__oil_extraction_ban,extreme_v2_numeric__oil_extraction_ban,oil_extraction_ban,llama31_8b_instruct,official_instruct,llama_instruct,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,24,10,0.23986865696045942
extreme_v2_numeric__oil_extraction_ban,extreme_v2_numeric__oil_extraction_ban,oil_extraction_ban,llama31_8b_instruct,official_instruct,llama_instruct,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,24,100,0.29349147671704007
extreme_v2_numeric__pesticide_ban,extreme_v2_numeric__pesticide_ban,pesticide_ban,llama31_8b_instruct,official_instruct,llama_instruct,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,24,0,0.37001598102368066
extreme_v2_numeric__pesticide_ban,extreme_v2_numeric__pesticide_ban,pesticide_ban,llama31_8b_instruct,official_instruct,llama_instruct,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,24,1,0.24853469144989962
extreme_v2_numeric__pesticide_ban,extreme_v2_numeric__pesticide_ban,pesticide_ban,llama31_8b_instruct,official_instruct,llama_instruct,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,24,10,0.18321630324289007
extreme_v2_numeric__pesticide_ban,extreme_v2_numeric__pesticide_ban,pesticide_ban,llama31_8b_instruct,official_instruct,llama_instruct,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,24,100,0.1982330242835295
extreme_v2_numeric__river_water_allocation,extreme_v2_numeric__river_water_allocation,river_water_allocation,llama31_8b_instruct,official_instruct,llama_instruct,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,24,0,0.3601669723160988
extreme_v2_numeric__river_water_allocation,extreme_v2_numeric__river_water_allocation,river_water_allocation,llama31_8b_instruct,official_instruct,llama_instruct,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,24,1,0.2344038027418266
extreme_v2_numeric__river_water_allocation,extreme_v2_numeric__river_water_allocation,river_water_allocation,llama31_8b_instruct,official_instruct,llama_instruct,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,24,10,0.1906636036777398
extreme_v2_numeric__river_water_allocation,extreme_v2_numeric__river_water_allocation,river_water_allocation,llama31_8b_instruct,official_instruct,llama_instruct,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,24,100,0.21476562126433474
extreme_v2_numeric__wetland_relocation,extreme_v2_numeric__wetland_relocation,wetland_relocation,llama31_8b_instruct,official_instruct,llama_instruct,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,24,0,0.3158915610108273
extreme_v2_numeric__wetland_relocation,extreme_v2_numeric__wetland_relocation,wetland_relocation,llama31_8b_instruct,official_instruct,llama_instruct,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,24,1,0.28205558202089515
extreme_v2_numeric__wetland_relocation,extreme_v2_numeric__wetland_relocation,wetland_relocation,llama31_8b_instruct,official_instruct,llama_instruct,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,24,10,0.19486011030042283
extreme_v2_numeric__wetland_relocation,extreme_v2_numeric__wetland_relocation,wetland_relocation,llama31_8b_instruct,official_instruct,llama_instruct,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,24,100,0.20719274666785456
