model,cost_count,probability_ecological,probability_human,probability_abstain
base,0,0.6600687802509655,0.3399310293938656,1.9035516887455505e-07
base,1,0.5627234087725866,0.43727607201684554,5.192105677622348e-07
base,10,0.4801428850346615,0.5198561041412533,1.0108240850815502e-06
base,100,0.42121762082335834,0.5787806389187883,1.7402578533096295e-06
base,1000,0.3759350597864035,0.6240635946493992,1.3455641972339508e-06
base,10000,0.3386919610737251,0.6613068352290126,1.2036972624101135e-06
base,100000,0.3088067422538862,0.6911924248781617,8.328679521056274e-07
base,1000000,0.3017849186795477,0.6982140654156571,1.0159047951341817e-06
dpo,0,0.6566278714646545,0.3433719238579586,2.0467738686595005e-07
dpo,1,0.5595657910180745,0.4404334638700977,7.451118277670037e-07
dpo,10,0.4800367481936749,0.5199622753011418,9.76505183265909e-07
dpo,100,0.41943698251819184,0.5805613513466018,1.6661352063960748e-06
dpo,1000,0.38055066609280985,0.6194477092200744,1.624687115677549e-06
dpo,10000,0.3334861697465945,0.6665127604671853,1.0697862200226508e-06
dpo,100000,0.3124191522483796,0.6875797575778426,1.090173777860056e-06
dpo,1000000,0.30691591831296333,0.6930829658882685,1.1157987681262915e-06
llama,0,0.9475270684446104,0.03011359209282255,0.0223593394625669
llama,1,0.9348625052542117,0.04357511428695199,0.02156238045883624
llama,10,0.9085246588318372,0.0586241527492355,0.03285118841892715
llama,100,0.8872240989744312,0.06673702835549897,0.046038872670069765
llama,1000,0.856204895082112,0.0771969142572829,0.06659819066060502
llama,10000,0.8091822672509162,0.09407333243360859,0.09674440031547503
llama,100000,0.7837102616447369,0.10218544735189658,0.1141042910033665
llama,1000000,0.7378335418889932,0.11690556282217003,0.14526089528883665
sft,0,0.5894510917065122,0.38259586384104477,0.027953044452442864
sft,1,0.5701258247887642,0.39643415809547056,0.03344001711576518
sft,10,0.5327602354482285,0.42882969188449216,0.038410072667279326
sft,100,0.5086017416790739,0.4475641363121652,0.043834122008760815
sft,1000,0.48623402952461753,0.4634280144289991,0.05033795604638325
sft,10000,0.4599309129756479,0.4846582317252274,0.05541085529912461
sft,100000,0.4458938551843704,0.49739839084484117,0.05670775397078838
sft,1000000,0.43314054556713244,0.505430919856419,0.061428534576448486
