model,template_family,probability_ecological,probability_human,probability_abstain
base,dam_removal,0.01479042521636011,0.985207907554486,1.6672291538845225e-06
base,island_biosecurity,0.9223618363829599,0.07763755335878805,6.102582519732628e-07
base,marine_reserve,0.896164668992505,0.10382920008857381,6.130918921104453e-06
base,oil_extraction_ban,0.2803359790297691,0.7196640026497734,1.8320457490841268e-08
base,pesticide_ban,0.3707028835410326,0.6292968976409021,2.188180651810448e-07
base,river_water_allocation,0.39551880465106926,0.6044811907909479,4.557982935698459e-09
base,wetland_relocation,0.1097678480511185,0.8902320427378333,1.092110480289806e-07
base,wildfire_restoration,0.19813195004852155,0.8018680454634012,4.4880771580978194e-09
dpo,dam_removal,0.014099508417941864,0.9858987942435038,1.6973385542407326e-06
dpo,island_biosecurity,0.9216905748587101,0.07830880636087952,6.187804103292634e-07
dpo,marine_reserve,0.8946314245221912,0.10536180134536914,6.774132439495645e-06
dpo,oil_extraction_ban,0.2831006899023571,0.716899287212158,2.288548477602445e-08
dpo,pesticide_ban,0.36691335004425396,0.6330864295495949,2.2040615098076752e-07
dpo,river_water_allocation,0.39941011732910053,0.600589875572555,7.0983443849108615e-09
dpo,wetland_relocation,0.11067492805303573,0.8893249458758653,1.260710988745005e-07
dpo,wildfire_restoration,0.20080675330748202,0.799193241178602,5.513915907337019e-09
llama,dam_removal,0.47611783662445356,0.2246660251261318,0.2992161382494145
llama,island_biosecurity,0.9889532735870717,0.007026615301830257,0.004020111111097857
llama,marine_reserve,0.9290344968151526,0.031359265637075126,0.03960623754777211
llama,oil_extraction_ban,0.7862264383959866,0.12552973066875345,0.08824383093525988
llama,pesticide_ban,0.9144541644092313,0.048503441838283756,0.037042393752484824
llama,river_water_allocation,0.9735344268370951,0.014176252075739184,0.0122893210871656
llama,wetland_relocation,0.780258170981004,0.1387594805214483,0.08098234849754758
llama,wildfire_restoration,0.9143265968382774,0.049176391409760455,0.03649701175196202
sft,dam_removal,0.1146766012060362,0.8404930111736428,0.044830387620320815
sft,island_biosecurity,0.8670878404829823,0.10547472113733221,0.0274374383796854
sft,marine_reserve,0.8110134577714104,0.13023136689347306,0.05875517533511633
sft,oil_extraction_ban,0.4748684551070423,0.4727035012554547,0.05242804363750294
sft,pesticide_ban,0.44566975805758685,0.503762592080055,0.050567649862358066
sft,river_water_allocation,0.4933168450905585,0.4566234747675129,0.05005968014192853
sft,wetland_relocation,0.3138996933880274,0.5989610230753687,0.08713928353660376
sft,wildfire_restoration,0.40710980051673873,0.5760286446430055,0.01686155484025563
