model,candidate_text,ecological_probability,mean_literal_label_probability
base,A,0.48994210699498236,0.403421485034659
base,B,0.1857678907648442,0.16946601149299653
base,C,0.5197054007076745,0.4271125034723443
sft,A,0.5103124862717524,0.33554527986439064
sft,B,0.1938825096755694,0.12130027458202074
sft,C,0.7686709234103217,0.5431544455535885
dpo,A,0.4895332689966004,0.4031820333009414
dpo,B,0.1853174550705394,0.16826079262295876
dpo,C,0.5218970308460126,0.4285571740760999
llama,A,0.784022337025359,0.30269935895303557
llama,B,0.8780865643002821,0.3687356996137821
llama,C,0.8739806253574612,0.32856494143318227
