model,family,from_cost,to_cost,ecological_probability_increase
base,dam_removal,0,1,0.0922912288105356
base,dam_removal,100000,1000000,3.7844943768020804e-05
base,island_biosecurity,0,1,0.000644495045622806
base,island_biosecurity,1,10,0.0011624500168917473
base,marine_reserve,0,1,1.686088865127111e-05
base,oil_extraction_ban,100000,1000000,0.006831918512603091
base,pesticide_ban,0,1,0.18680627650432613
base,pesticide_ban,100000,1000000,0.0013682170732781107
base,wetland_relocation,10000,100000,0.008701865323439202
base,wetland_relocation,100000,1000000,0.029729502145174495
dpo,dam_removal,0,1,0.0824928311645249
dpo,dam_removal,100000,1000000,9.596866343884516e-05
dpo,island_biosecurity,0,1,0.002219999656600802
dpo,island_biosecurity,1,10,0.0007440009620027777
dpo,oil_extraction_ban,100,1000,0.001050968059983337
dpo,oil_extraction_ban,100000,1000000,0.0057654394056762814
dpo,pesticide_ban,0,1,0.20560013306097208
dpo,pesticide_ban,10000,100000,0.00578308610571282
dpo,pesticide_ban,100000,1000000,0.003849467551319319
dpo,river_water_allocation,10000,100000,0.022077879927992705
dpo,river_water_allocation,100000,1000000,0.0018265968865434634
dpo,wetland_relocation,10000,100000,0.008645622962690398
dpo,wetland_relocation,100000,1000000,0.0298634772082291
dpo,wildfire_restoration,100000,1000000,0.011564750533310401
llama,dam_removal,0,1,0.0018210729743290965
llama,pesticide_ban,0,1,0.013772277114776799
sft,dam_removal,0,1,0.0626995627459632
sft,dam_removal,10,100,0.006802961113769504
sft,marine_reserve,0,1,0.02012362256753286
sft,pesticide_ban,0,1,0.11428477735913661
sft,wetland_relocation,100000,1000000,0.011422608571931614
