template_family,cost_count,delta_probability_ecological,delta_probability_human,delta_probability_abstain,model,base_preference,trained_preference
dam_removal,1,0.0598191392654113,-0.09882166230295963,0.03900252303754819,sft,human,human
dam_removal,10,0.1068861369799994,-0.15460289423912843,0.047716757259129244,sft,human,human
dam_removal,100,0.1204822238222553,-0.1757646173398043,0.05528239351754898,sft,human,human
dam_removal,1000,0.1082202987612393,-0.15921751044673105,0.05099721168549153,sft,human,human
dam_removal,10000,0.10370989878429089,-0.14774481039230503,0.044034911608013684,sft,human,human
dam_removal,100000,0.10173947511754712,-0.14160555852539136,0.03986608340784417,sft,human,human
dam_removal,1000000,0.0983460591969894,-0.13524722141958223,0.036901162222592716,sft,human,human
island_biosecurity,1,-0.09488513104993856,0.0773506943724566,0.01753443667748207,sft,ecological,ecological
island_biosecurity,10,-0.09776460400006393,0.07848389223195729,0.019280711768106498,sft,ecological,ecological
island_biosecurity,100,-0.10645065937378295,0.0857129411409287,0.020737718232854203,sft,ecological,ecological
island_biosecurity,1000,-0.10752333361598299,0.0842130850598181,0.023310248556164887,sft,ecological,ecological
island_biosecurity,10000,-0.10250696338351062,0.0723630703521793,0.03014389303133107,sft,ecological,ecological
island_biosecurity,100000,0.03546211634311969,-0.07178160449395918,0.03631948815083944,sft,ecological,ecological
island_biosecurity,1000000,0.08675060378031574,-0.1314819042135717,0.044731300433255815,sft,ecological,ecological
marine_reserve,1,-0.12805899625205353,0.08788367368681349,0.04017532256523975,sft,ecological,ecological
marine_reserve,10,-0.10855424158547322,0.0655439800739687,0.043010261511504444,sft,ecological,ecological
marine_reserve,100,-0.10772017652208266,0.060623777603697894,0.04709639891838467,sft,ecological,ecological
marine_reserve,1000,-0.0579642865726715,-0.002577062507914424,0.06054134908058601,sft,ecological,ecological
marine_reserve,10000,-0.062060298963273475,-0.006745195558809702,0.0688054945220832,sft,ecological,ecological
marine_reserve,100000,-0.06325776247715087,-0.01100137818656402,0.07425914066371483,sft,ecological,ecological
marine_reserve,1000000,-0.06844271617495634,-0.008912627476897417,0.07735534365185366,sft,ecological,ecological
oil_extraction_ban,1,0.08233947903083016,-0.12737801110166969,0.04503853207083943,sft,human,ecological
oil_extraction_ban,10,0.17741185437086915,-0.22013931642835605,0.042727462057486995,sft,human,ecological
oil_extraction_ban,100,0.1799877014351069,-0.22303599155365772,0.04304829011855095,sft,human,ecological
oil_extraction_ban,1000,0.2303134019857589,-0.2777146957591073,0.047401293773348396,sft,human,ecological
oil_extraction_ban,10000,0.245147258269608,-0.29641826735732923,0.051271009087721094,sft,human,human
oil_extraction_ban,100000,0.23113268719185212,-0.2938407395779593,0.06270805238610724,sft,human,human
oil_extraction_ban,1000000,0.21539495025688732,-0.29019648798215125,0.07480153772526406,sft,human,human
pesticide_ban,1,0.06293039804292044,-0.0893119965432384,0.02638159850031807,sft,ecological,ecological
pesticide_ban,10,0.02384298029867782,-0.06238477946941218,0.03854179917073424,sft,human,ecological
pesticide_ban,100,0.07068538513680483,-0.11580234806468964,0.04511696292788474,sft,human,human
pesticide_ban,1000,0.08945809556121409,-0.14553940843487845,0.0560813128736643,sft,human,human
pesticide_ban,10000,0.09794825790651651,-0.15873863140507483,0.06079037349855819,sft,human,human
pesticide_ban,100000,0.10375713630038869,-0.16946961678127304,0.06571248048088438,sft,human,human
pesticide_ban,1000000,0.07614586836935688,-0.1374933582273633,0.06134748985800631,sft,human,human
river_water_allocation,1,-0.06638400606709338,0.040145107214434206,0.026238898852659277,sft,ecological,ecological
river_water_allocation,10,0.06792809456794863,-0.10162306795466247,0.03369497338671387,sft,human,ecological
river_water_allocation,100,0.1345321771544788,-0.1687054502369022,0.03417327308242327,sft,human,ecological
river_water_allocation,1000,0.1533941894846843,-0.19721402745609057,0.04381983797140637,sft,human,human
river_water_allocation,10000,0.1342259608719788,-0.2030975166273547,0.06887155575537583,sft,human,human
river_water_allocation,100000,0.1397493573956285,-0.2071523203323924,0.06740296293676398,sft,human,human
