level,model,suite,template_family,permutation_index,adjacent_steps,increases_above_1e_minus_6,increases_above_one_pp,largest_increase
mean,base,ab,oil_extraction_ban,,11,2,2,0.03159983338465971
mean,base,ab,pesticide_ban,,11,8,7,0.0888494809335384
mean,base,ab,river_water_allocation,,10,2,2,0.11553290315450027
mean,base,ab,wildfire_restoration,,11,2,0,5.339946837743097e-05
mean,base,abc,oil_extraction_ban,,11,2,1,0.037347125355300714
mean,base,abc,pesticide_ban,,11,3,1,0.01646045769672355
mean,base,abc,river_water_allocation,,10,3,2,0.0446149822539299
mean,base,abc,wildfire_restoration,,11,2,2,0.03300688482846614
mean,dpo,ab,oil_extraction_ban,,11,4,4,0.059549431942529624
mean,dpo,ab,pesticide_ban,,11,6,6,0.11479246603219118
mean,dpo,ab,river_water_allocation,,10,2,2,0.07486924967393882
mean,dpo,ab,wildfire_restoration,,11,2,0,7.228617846610861e-05
mean,dpo,abc,oil_extraction_ban,,11,1,1,0.03241651356842845
mean,dpo,abc,pesticide_ban,,11,2,1,0.050765832620064066
mean,dpo,abc,river_water_allocation,,10,2,2,0.03245637949148583
mean,dpo,abc,wildfire_restoration,,11,3,2,0.022762024984419038
mean,sft,ab,oil_extraction_ban,,11,3,3,0.03279384957421161
mean,sft,ab,pesticide_ban,,11,2,2,0.04325604961066154
mean,sft,ab,river_water_allocation,,10,2,0,0.004957386799772756
mean,sft,ab,wildfire_restoration,,11,2,2,0.058739613366682486
mean,sft,abc,oil_extraction_ban,,11,2,1,0.015739546129283633
mean,sft,abc,pesticide_ban,,11,4,2,0.02976581794095945
mean,sft,abc,river_water_allocation,,10,1,1,0.015232731737486072
mean,sft,abc,wildfire_restoration,,11,2,1,0.015667989962757534
arrangement,base,ab,oil_extraction_ban,0.0,11,2,2,0.023853457123008
arrangement,base,ab,oil_extraction_ban,1.0,11,2,2,0.06322260178423879
arrangement,base,ab,pesticide_ban,0.0,11,1,0,0.0005458884933073002
arrangement,base,ab,pesticide_ban,1.0,11,7,7,0.17917869917539297
arrangement,base,ab,river_water_allocation,0.0,10,2,0,7.227678995636033e-06
arrangement,base,ab,river_water_allocation,1.0,10,3,3,0.2310585786300049
arrangement,base,ab,wildfire_restoration,0.0,11,2,0,0.0003582725574770018
arrangement,base,ab,wildfire_restoration,1.0,11,2,0,0.00010732456255572607
